question_id,question_category,method,run_number,duration_ms,tokens_in,tokens_out,cost_usd,cluster_id,profile_used,was_stale,was_downgraded,factsheet_version,was_new_session,response_length_chars,response_path,cache_creation_input_tokens,cache_read_input_tokens,reported_total_cost_usd,model,num_turns,error,quality_score,quality_notes
A1,A_factual,direct_fresh,1,14677,19281,497,0.12089175,,agent_readonly,,,,true,595,responses/direct_fresh_A1_run1.txt,6677,101850,0.20148625,MiniMax-M2.7,3,,3,all clusters fields present
A2,A_factual,direct_fresh,1,7044,44973,603,0.1822488,,agent_readonly,,,,true,371,responses/direct_fresh_A2_run1.txt,0,127616,0.30374799999999996,MiniMax-M2.7,4,,2,missing some cluster event types; matched 13/14
A3,A_factual,direct_fresh,1,8891,41970,718,0.1737552,,agent_readonly,,,,true,1145,responses/direct_fresh_A3_run1.txt,0,123584,0.289592,MiniMax-M2.7,5,,2,captures only part of stale behavior; matched 4/5
A4,A_factual,direct_fresh,1,15511,42163,404,0.16977779999999998,,agent_readonly,,,,true,272,responses/direct_fresh_A4_run1.txt,0,124096,0.282963,MiniMax-M2.7,5,,3,bare args identified
A5,A_factual,direct_fresh,1,7767,7722,261,0.0725085,,agent_readonly,,,,true,303,responses/direct_fresh_A5_run1.txt,6682,67900,0.1208475,MiniMax-M2.7,2,,3,default 30 identified
B1,B_reasoning,direct_fresh,1,23935,28893,743,0.16362525,,agent_readonly,,,,true,1574,responses/direct_fresh_B1_run1.txt,6683,135800,0.27270875,MiniMax-M2.7,5,,3,explains verifier restriction and rationale for avoiding agent mode
B2,B_reasoning,direct_fresh,1,17345,56546,1434,0.2623224,,agent_readonly,,,,true,3306,responses/direct_fresh_B2_run1.txt,0,237248,0.43720400000000004,MiniMax-M2.7,9,,2,partial orphan recovery path; matched 5/6
B3,B_reasoning,direct_fresh,1,10712,43946,524,0.1520244,,agent_readonly,,,,true,1427,responses/direct_fresh_B3_run1.txt,0,41088,0.253374,MiniMax-M2.7,2,,3,distinguishes all trust states and rejection condition
C1,C_open,direct_fresh,1,32383,23083,1207,0.142959,,agent_readonly,,,,true,2519,responses/direct_fresh_C1_run1.txt,6680,101850,0.238265,MiniMax-M2.7,4,,3,"specific, project-aware, and gives at least three concrete points"
C2,C_open,direct_fresh,1,29011,45259,2454,0.3013998,,agent_readonly,,,,true,1516,responses/direct_fresh_C2_run1.txt,0,429376,0.502333,MiniMax-M2.7,13,,1,partly relevant but shallow
A1,A_factual,direct_fresh,2,14992,22954,581,0.1203201,,agent_readonly,,,,true,654,responses/direct_fresh_A1_run2.txt,0,142477,0.20053350000000003,MiniMax-M2.7,7,,3,all clusters fields present
A2,A_factual,direct_fresh,2,60212,51602,2627,0.36301740000000005,,agent_readonly,,,,true,1518,responses/direct_fresh_A2_run2.txt,0,562688,0.6050289999999999,MiniMax-M2.7,18,,2,missing some cluster event types; matched 13/14
A3,A_factual,direct_fresh,2,7885,43827,589,0.16500720000000002,,agent_readonly,,,,true,1122,responses/direct_fresh_A3_run2.txt,0,82304,0.275012,MiniMax-M2.7,3,,3,"captures stale marking, event, error, and changed_files"
A4,A_factual,direct_fresh,2,10808,40535,260,0.15058020000000003,,agent_readonly,,,,true,216,responses/direct_fresh_A4_run2.txt,0,83584,0.25096700000000005,MiniMax-M2.7,4,,3,bare args identified
A5,A_factual,direct_fresh,2,6624,7708,154,0.0478086,,agent_readonly,,,,true,200,responses/direct_fresh_A5_run2.txt,0,74582,0.079681,MiniMax-M2.7,2,,3,default 30 identified
B1,B_reasoning,direct_fresh,2,28600,31733,1163,0.1553889,,agent_readonly,,,,true,1148,responses/direct_fresh_B1_run2.txt,0,142483,0.2589815,MiniMax-M2.7,6,,3,explains verifier restriction and rationale for avoiding agent mode
B2,B_reasoning,direct_fresh,2,15420,54102,1311,0.2495358,,agent_readonly,,,,true,1900,responses/direct_fresh_B2_run2.txt,0,225216,0.415893,MiniMax-M2.7,6,,3,walks orphan recovery path
