The `clusters` table (defined in `src/schema.sql:112` and `src/schema.ts:113`) has these fields:

| Field | Type | Default |
|-------|------|---------|
| `id` | TEXT | PRIMARY KEY |
| `project_id` | TEXT | NOT NULL |
| `name` | TEXT | NOT NULL |
| `description` | TEXT | NOT NULL DEFAULT '' |
| `tool_profile_default` | TEXT | NOT NULL DEFAULT 'bare' |
| `baseline_session_id` | TEXT | — |
| `status` | TEXT | NOT NULL DEFAULT 'active' |
| `trust_state` | TEXT | NOT NULL DEFAULT 'unprepared' |
| `created_at` | TEXT | NOT NULL |
| `last_used` | TEXT | NOT NULL |

It also has a `UNIQUE(project_id, id)` constraint and an index on `(project_id, status)`.
