

From `src/schema.sql:112-125`, the `clusters` table fields are:

| Field | Type | Constraints |
|-------|------|-------------|
| `id` | TEXT | PRIMARY KEY |
| `project_id` | TEXT | NOT NULL |
| `name` | TEXT | NOT NULL |
| `description` | TEXT | NOT NULL DEFAULT '' |
| `tool_profile_default` | TEXT | NOT NULL DEFAULT 'bare' |
| `static_factsheet_policy` | TEXT | NOT NULL DEFAULT 'deny' |
| `baseline_session_id` | TEXT | (nullable) |
| `status` | TEXT | NOT NULL DEFAULT 'active' |
| `trust_state` | TEXT | NOT NULL DEFAULT 'unprepared' |
| `created_at` | TEXT | NOT NULL |
| `last_used` | TEXT | NOT NULL |

Unique constraint: `UNIQUE(project_id, id)`. An index exists on `(project_id, status)`.
