

Based on the verified factsheet, the following **25 event types** are written to `cluster_events`:

**Factsheet events:**
1. `factsheet_static_verified`
2. `factsheet_partially_static_verified`
3. `factsheet_llm_verified`
4. `factsheet_partially_llm_verified`
5. `factsheet_generated`
6. `factsheet_rejected`
7. `factsheet_stale`

**Cluster lifecycle events:**
8. `cluster_created`
9. `cluster_refresh_required`
10. `cluster_refresh`
11. `llm_verifier`

**Consult events:**
12. `cluster_consult`
13. `cluster_consult_failed`
14. `cluster_fallback_to_claude_consult`
15. `cluster_fallback_failed`

**Evidence revalidation events:**
16. `evidence_revalidated`
17. `evidence_revalidation_failed`

**Profile/probe events:**
18. `tool_profile_downgraded`
19. `bare_probe_failed`

**Orphan/session events:**
20. `orphan_recovery`
