question_id,question_category,method,run_number,duration_ms,tokens_in,tokens_out,cost_usd,cluster_id,profile_used,was_stale,was_downgraded,factsheet_version,was_new_session,response_length_chars,response_path,cache_creation_input_tokens,cache_read_input_tokens,reported_total_cost_usd,model,num_turns,error,quality_score,quality_notes
A1,A_factual,cluster_consult,1,3907,0,75,0.001125,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v3,bare,false,false,1,true,183,responses/cluster_consult_A1_run1.txt,,,,,,,3,all clusters fields present
A2,A_factual,cluster_consult,1,14753,12515,466,0.044535,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v3,bare,false,false,1,true,620,responses/cluster_consult_A2_run1.txt,,,,,,,3,all known cluster event types present
A3,A_factual,cluster_consult,1,36494,12516,557,0.045903,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v3,bare,false,false,1,true,900,responses/cluster_consult_A3_run1.txt,,,,,,,3,"captures caller-facing stale handling, strict revalidation, and fallback"
A5,A_factual,cluster_consult,1,6048,0,266,0.00399,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v3,bare,false,false,1,true,162,responses/cluster_consult_A5_run1.txt,,,,,,,3,default 30 identified
B2,B_reasoning,cluster_consult,1,13453,0,570,0.00855,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v3,bare,false,false,1,true,1376,responses/cluster_consult_B2_run1.txt,,,,,,,3,walks orphan recovery path
A1,A_factual,cluster_consult,2,14227,12514,141,0.039657,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v3,bare,false,false,1,true,169,responses/cluster_consult_A1_run2.txt,,,,,,,3,all clusters fields present
A2,A_factual,cluster_consult,2,7810,12516,367,0.043053,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v3,bare,false,false,1,true,617,responses/cluster_consult_A2_run2.txt,,,,,,,3,all known cluster event types present
A3,A_factual,cluster_consult,2,12367,12517,412,0.043731,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v3,bare,false,false,1,true,813,responses/cluster_consult_A3_run2.txt,,,,,,,3,"captures caller-facing stale handling, strict revalidation, and fallback"
A5,A_factual,cluster_consult,2,5494,0,237,0.003555,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v3,bare,false,false,1,true,75,responses/cluster_consult_A5_run2.txt,,,,,,,3,default 30 identified
B2,B_reasoning,cluster_consult,2,20262,0,974,0.01461,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v3,bare,false,false,1,true,1381,responses/cluster_consult_B2_run2.txt,,,,,,,3,walks orphan recovery path
